ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-12-03T07:12:53Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",36004,IN,27.5.150.82,"Nenjame (From ""Doctor"")",Anirudh Ravichander,Nenjame,spotify:track:491DwnBb3MA8RzyA2E0Skt,,,,,,,,playbtn,endplay,true,false,false,,false
2020-12-03T07:13:10Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",16534,IN,27.5.150.82,"Bujji (From ""Jagame Thandhiram"")",Santhosh Narayanan,Bujji,spotify:track:6rJhjykEkCqm3H64uALhhf,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-03T07:13:16Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",6023,IN,27.5.150.82,"Chellamma (From ""Doctor"")",Anirudh Ravichander,Chellamma,spotify:track:0fGclndst25Qqy8j4u5De5,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-03T07:19:02Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",267203,IN,27.5.150.82,"Bujji (From ""Jagame Thandhiram"")",Santhosh Narayanan,Bujji,spotify:track:6rJhjykEkCqm3H64uALhhf,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-03T07:22:58Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",236500,IN,27.5.150.82,"Chellamma (From ""Doctor"")",Anirudh Ravichander,Chellamma,spotify:track:0fGclndst25Qqy8j4u5De5,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-03T16:23:39Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",128540,IN,27.5.240.63,"Kaattu Payale (From ""Soorarai Pottru"")",G. V. Prakash,Kaattu Payale,spotify:track:2b4nWymybHj38A6XtQijiA,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,,false
2020-12-03T16:29:58Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",358626,IN,27.5.240.63,Pachai Nirame,Hariharan,Alaipayuthey,spotify:track:3hp56aHySTDt9bdZiwdDO1,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-05T04:42:23Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",138857,IN,60.243.80.137,Snehidhane,Sadhana Sargam,Alaipayuthey,spotify:track:5p0EV9zCL2PDbRciPXFCw1,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,,false
2020-12-05T14:52:12Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",89704,IN,27.5.172.93,Pachai Nirame,Hariharan,Alaipayuthey,spotify:track:3hp56aHySTDt9bdZiwdDO1,,,,,,,,trackdone,logout,false,false,false,,false
2020-12-05T14:56:49Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",225585,IN,27.5.172.93,Chellakuttiye (Avastha Love Song) [feat. Srinish Aravind],Jecin George,Chellakuttiye (Avastha Love Song) [feat. Srinish Aravind],spotify:track:4kTkRdy4L9kIP0TJAUWf2H,,,,,,,,trackdone,trackdone,false,false,false,,false
